vendor_nickname,buyer,buyer_eur, buyer_num, topic, buyer_price
'herbamedicus2',Raio,100,3,'Bioniche Susta-Med 300 mg',60
'herbamedicus2',ises,1000,100,'Anfarm Hellas clomiphene 50mg 24kpl ',50
'herbamedicus2',ises,1000,100,'Kamagra 100mg x4kpl',20
'herbamedicus2',Kuko,1000,50,'Sirdalud 2mg 100kpl',55
'herbamedicus2',ro48,100,3,'Accord anastrozole 1mg 28kpl',65
'herbamedicus2',Faer,500,10,'NovoRapid FlexPen 3ml/300iu',23
'herbamedicus2',Jaan,1000,50,'Bioniche Deca-Med 300mg',65
'herbamedicus2',Chyy,500,10,'Lyrica 75mg 14kpl laatta',33
'herbamedicus2',pe87,1000,50,'Spectrum Pharma Tren A 100mg/ml  10ml',175
'herbamedicus2',kei2,1000,100,'Lyrica 75mg 14kpl laatta',33
'herbamedicus2',Poto,50,1,'Zhengzhoun Anavar 20mg 50kpl',95
'herbamedicus2',Fä55,100,5,'Kamagra 100mg x4kpl',22
'herbamedicus2',kelo,1000,50,'Bio-Peptide Ghrp-2 10mg',55
'herbamedicus2',Konn,10000,100,'Zhengzhou Stanozolol 20mg 50kpl',65
'herbamedicus2',Hari,1000,10,'Bioniche Susta-Med 300 mg',115
'herbamedicus2',Hari,1000,10,'Bioniche Deca-Med 300mg',65
'herbamedicus2',sgyd,500,10,'Bioniche Deca-Med 300mg',70
'herbamedicus2',joan,100,5,'Bioniche Susta-Med 300 mg',60
'herbamedicus2',oist,100,5,'Zhengzhou Stanozolol 20mg 50kpl',65
'herbamedicus2',sp12,1000,50,'Bioniche Trenamad E 200mg',80
'herbamedicus2',sp12,1000,50,'Bioniche Enanta-Med 300mg',55
'herbamedicus2',oq45,1000,10,'Anfarm Hellas clomiphene 50mg 24kpl ',50
'herbamedicus2',ylso,1000,25,'Spectrum Pharma Mast ena 200mg/ml',205
'herbamedicus2',nnxx,50,1,'Zhengzhou Dbol 20mg/50tab',65
'herbamedicus2',roja,1000,50,'Spectrum Pharma Nandro PP 100mg',75
'herbamedicus2',kr66,100,3,'Kamagra 100mg x4kpl',42
'herbamedicus2',Jaan,1000,50,'Bioniche Susta-Med 300 mg',55
'herbamedicus2',Ju23,1000,25,'Accord anastrozole 1mg 28kpl',65
'herbamedicus2',huer,1000,25,'Zhengzhou Anastrozole 1mg/25tab',75
'herbamedicus2',zane,100,1,'Zhengzhou Stanozolol 20mg 50kpl',65
'herbamedicus2',ELLO,1000,100,'Bioniche Testo-Med 400mg',60
'herbamedicus2',Ooda,1000,25,'Anfarm Hellas clomiphene 50mg 24kpl ',50
'herbamedicus2',Jo J,1000,50,'Bioniche Susta-Med 300 mg',50
'herbamedicus2',Jo J,1000,50,'Bioniche Trenamad E 200mg',75
'herbamedicus2',os87,1000,10,'Bioniche Trenamad E 200mg',75
