seller,price,cat1,cat2,cat3,title
10labs,0.00175,Drugs,Stimulants,Cathinones,'1 g mephedrone mcat mkat meow best seen in a long time'
10labs,0.005396,Drugs,Stimulants,Cathinones,'3.5 g mephedrone'
10labs,0.022166,Drugs,Stimulants,Cathinones,'28 g mephedrone'
10labs,0.510688,Drugs,Stimulants,Cathinones,'1kg mephedrone mcat 4mmc'
1g1mpact,0.006952,Drugs,Psychedelics,Ibogaine,'9g - Iboga Rootbark - High Quality, Cameroon'
1g1mpact,0.051758,Drugs,Psychedelics,Ibogaine,'custom iboga TA 3g'
1r0ll1ng,0.005387,Drugs,Opiates,Buprenorphine,'Suboxone 8mg tabletti'
1r0ll1ng,0.006413,Drugs,Pharmacy,Benzos,'Roche Rivot 20kpl,hintaa laskettu,45€+pk -escrow-'
1r0ll1ng,0.006926,Drugs,Opiates,Buprenorphine,'Subutex 8mg 52€/kpl -Escrow-'
1r0ll1ng,0.013275,Drugs,Pharmacy,Benzos,'Roche Rivotril 50 tablettia -escrow -laatutakuu -homma hoidos'
1r0ll1ng,0.025652,Drugs,Pharmacy,Benzos,'Roche Rivotril 100tablettia -escrow -uudet metodit'
1r0ll1ng,0.026678,Drugs,Pharmacy,Benzos,'Rivotril 200kpl-Myös Xanor ja Subu Bulkkina escrow'
1r0ll1ng,0.032065,Drugs,Pharmacy,Benzos,'Xanor LPH 1mg nopea 100kpl&amp;200kpl(post.vaihtoehto nro2)'
1r0ll1ng,0.033989,Drugs,Opiates,Buprenorphine,'Subutex 8mg 5kpl - 200e sis PK'
1r0ll1ng,0.046815,Drugs,Opiates,Buprenorphine,'Subutex 7kpl -lätkä- 39€/KPL+pk'
1r0ll1ng,0.106537,Drugs,Opiates,Buprenorphine,'25kpl subua 10 erää'
1r0ll1ng,0.485718,Drugs,Opiates,Buprenorphine,'Subutex -BULK- Maastokätkö 100kpl'
1yliopistonapteekki11,0.002825,Drugs,Empathogens,Ecstasy,'1 kpl Keltainen UPS 200 mg 17 € / kpl'
1yliopistonapteekki11,0.002825,Drugs,Empathogens,Ecstasy,'1 kpl Punainen Rolls Royce 200mg 17 € / kpl'
1yliopistonapteekki11,0.002953,Drugs,Stimulants,Amphetamine,'1g Puhdasta Puolalaista Amfetamiinia 18€/g *64%*'
1yliopistonapteekki11,0.004494,Drugs,Stimulants,4-MePPP,'0.5 Mefedroni(MCAT) '
1yliopistonapteekki11,0.00642,Drugs,Empathogens,Ecstasy,'3 kpl Keltainen UPS 200 mg 15 € / kpl'
1yliopistonapteekki11,0.00642,Drugs,Empathogens,Ecstasy,'3 kpl Punainen Rolls Royce 200mg 15 € / kpl'
1yliopistonapteekki11,0.00642,Drugs,Stimulants,4-MePPP,'1 Mefedroni(MCAT) '
1yliopistonapteekki11,0.006997,Drugs,Stimulants,Amphetamine,'3.5g Puhdasta Puolalaista Amfetamiinia 16.5€/g *64%*'
1yliopistonapteekki11,0.007832,Drugs,Empathogens,MDMA,'1g Puhdasta MDMA-kristallia 56€/g'
1yliopistonapteekki11,0.008667,Drugs,Empathogens,Ecstasy,'5 kpl Keltainen UPS 200 mg 12.5 € / kpl'
1yliopistonapteekki11,0.008667,Drugs,Empathogens,Ecstasy,'5 kpl Punainen Rolls Royce 200mg 12.5 € / kpl'
1yliopistonapteekki11,0.010272,Drugs,Stimulants,Amphetamine,'5g Puhdasta Puolalaista Amfetamiinia 15€/g *64%*'
1yliopistonapteekki11,0.017975,Drugs,Empathogens,MDMA,'3.5g Puhdasta MDMA-kristallia 45€/g'
1yliopistonapteekki11,0.026321,Drugs,Empathogens,MDMA,'5g Puhdasta MDMA-kristallia 40€/g'
20highstreet,0.016234,Drugs,Cannabis,Weed,'1oz -- SOUR DIESEL, KNOCKOUT, LEMON OG--  FREE SHIPPING!!'
20highstreet,0.019377,Drugs,Cannabis,Weed,'1oz GREENHOUSE -- PINEAPPLE EXPRESS, GREEN CRACK, CANDYLAND,'
20highstreet,0.051322,Drugs,Cannabis,Weed,'QP (4oz) -- SOUR DIESEL, KNOCKOUT, LEMON OG--  FREE SHIPPING!!'
20highstreet,0.059177,Drugs,Cannabis,Weed,'QP GREENHOUSE (4oz) -- PINEAPPLE EXPRESS, GREEN CRACK, CANDYLAND,'
20highstreet,0.219951,Drugs,Cannabis,Weed,'1 POUND GREENHOUSE -- PINEAPPLE EXPRESS, GREEN CRACK, CANDYLAND, '
3caprice,0.001776,Drugs,Opiates,Oxycodone,'Percocet IP 10/325mg(17.00$) Overnight '
3caprice,0.002821,Drugs,Stimulants,Amphetamine,'30mg IR Aderall Cor136 Pharma grade EXPRESS'
3caprice,0.004075,Drugs,Opiates,Oxycodone,'Hydrocodone (14$ a piece) ( Norco 10/325mg) (36|01) OVERNIGHT AVA'
3caprice,0.004911,Drugs,Opiates,Oxycodone,'15mg Oxycodone aka Roxies 15 e52 EXPRESS OFFERED'
