vendor,price,cat1,cat2,cat3,title
grantyourwish,0.000521,Other products,Digital items,Guides and tutorials,'★★★ The Ultimate Hyper List of 10,000 Cardable Websites ★★★'
kvalitetsroyk123,0.043876,Drugs,Stimulants,Amphetamine,'custom for lis'
theshop,0.000208,Other products,Services,Money,'♕ 5 TOP Money Making Methods ♕ '
weed-depot,0.147702,Drugs,Cannabis,Weed,'250 gr. Killer Kush Weed Escrow Package'
idealpills,0.140667,,Drugs,Stimulants,'1000x Ritalin 10 MG Pills (Loose)'
spotmebro,0.012832,Drugs,Pharmacy,Benzos,'500x 1.0mg Blue football Xanax (Pharma Grade)'
weedtastic,1.433213,Drugs,Cannabis,Hash,' Marrocan Caramello 3000 Gram'
jesperjesper,0.058538,Drugs,Empathogens,Ecstasy,'600 X Burger King XTC ( 230MG MDMA )'
tranquilandia02,0.012634,Drugs,Stimulants,Cocaine,'2 gram Pure Colombian Cocaine [NEW PRICES] '
idealpills,0.100206,Drugs,Pharmacy,Sleep,'675x Ambien 10 MG Pills (Loose)'
blue62,0.115165,Drugs,Stimulants,Metamphetamine,'7g --LOCAL AUSTRALIAN METH--'
hollanpetters,0.115213,Other products,Self-defence,Guns and ammo,'H&amp;K MODEL VP-9 LE IN TACTICAL GREY WITH THREE MAGS AND NIGHT SIGH'
matzee,0.010327,Drugs,Cannabis,Hash,'Moroccan Hash Caramello 10 gramm '
goingpostai,0.07043,Drugs,Psychedelics,LSD,'250 HITS LSD (GFD Fluff on Blotter)'
hot-stuff,0.048337,Drugs,Cannabis,Weed,'56 gr. Platinum OG Kush AAA+ Indoor'
dutchdopemasters,0.024109,Drugs,Empathogens,Ecstasy,'75X 180MG Purple Chupa Chup Ecstasy XTC Pills'
hollanpetters,0.015673,Other products,Self-defence,Guns and ammo,'308 Win 200Rd Privi 180gr S.P. 308win 7.62x51 .308'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'Practical LSD Manufacture 3rd edition'
noogz,0.00141,Drugs,Empathogens,Ecstasy,'5x Chupa Chups Ecstasy mdma pill 120+ MG'
md,0.000103,Other products,Services,Trafficking,'SOUND CLOUD 1K PLAYS FOR 0.99$ ONLY [FAST]'
misterpills,0.006284,Drugs,Opiates,Codeine,'Codeine now ready!!'
idealpills,0.065921,Drugs,Opiates,Codeine,'400x Codeine 15 MG Pills (Loose)'
sspaceagent,0.000099,Other products,Digital items,Other digital,'Crunchyroll Premium Anime ACC(Lifetime Warranty)'
thehappycrew,0.027212,Drugs,Cannabis,Weed,'25 gram HAPPY SPECIAL AAA+++ INDOOR INDICA'
acc4btc,0.000105,Other products,Digital items,Other digital,'Bitdefender Premium Account |LIFETIME WARRANTY|'
holloboss,0.062843,Other products,Services,Money,'200 x 20 High Quality Counterfeit $CAD Superbills TOTAL 4000'
appleinc,0.012526,,Other products,Classifieds,'5 x $100 DOLLAR COUNTERFEIT, STRIP, PASS PEN TEST'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'eBay Listings That Sell For Dummies'
stealthpharmacy,0.006125,Other products,Body building,Anabolic steroids,'Syntholan Trenbolone Acetate 100mg - 10ml Bottle'
c10labs,0.005396,Drugs,Stimulants,Cathinones,'3.5 g mephedrone'
galaxystore,0.041074,Drugs,Empathogens,Ecstasy,'⌛25pcs Rolls Royce 240mg ☯ GalaxyStore ☯ FINLAND ONLY ⌛'
uncutkingg,0.016708,Drugs,Stimulants,Cocaine,'1.75g PURE FISHSCALE COCAINE FROM UNCUTKING *FAST SHIPPING*'
orangeone,0.01988,Other products,Classifieds,Replicas,'FREE SHIPPING-IPHONE 7PLUZ-FREE SHIPPING-silver color'
cookdish,0.006454,Drugs,Empathogens,MDMA,'50 X PINK RED BULL XTC MDMA PILL 270mg '
flyingdutchman,0.068497,Drugs,Empathogens,Ecstasy,'100x Twitter Pills MDMA 200mg'
appleinc,0.009916,,Drugs,Pharmacy,'100 x 10mg Roche Diazepam (Loose)'
suomenninja,0.038478,Drugs,Cannabis,Weed,'20g@15e!!! WW x Chronic FREE DROP IN HELSINKI AREA-- ei FE!'
amsterdaminc,0.005428,Drugs,Psychedelics,2C-x,'2-CB Pills 20 MG, 50 Pills FE'
probitexchange1,0.027138,Other products,Services,Fake IDs,'partial release ID'
viking_king,0.014617,Drugs,Stimulants,Cocaine,'★ 1G ★ EXTREME COCAINE ★ GRATIS FRAKT &amp; DECOY!'
sons-of-anarchi,0.274762,Drugs,Empathogens,MDMA,'3000 pills 50% mdma 50% speed'
wendy,0.001044,Other products,Digital items,Other digital,'Zuzinka.com [PORN LIFETIME ACCOUNT]'
lucyskydiam0nds,0.018598,Drugs,Empathogens,Ecstasy,'20g Dutch MDMA - 84% Purity'
tokeys_fire,0.005132,Drugs,Cannabis,Weed,'7 grams Fruity Pebbles top shelf'
theshop,0.001043,Other products,Digital items,Ebooks,'★ ♕ TheShop's MEGAPACK ♕ ★ '
uniqueuk2,0.004703,Drugs,Depressants,GHB / GBL,'7g PURE GHB solidified for perfect dose 99.99%'
appleinc,0.012526,,Other products,Services,'5 x $100 DOLLAR COUNTERFEIT, STRIP, PASS PEN TEST'
bmg1,0.008897,Drugs,Cannabis,Weed,'SUPER.S.D + BMG 7PIPE TWISTY GLASS BLUNT*SILVER*'
amsterdamtouk,0.005291,Drugs,Empathogens,Ecstasy,'10 Domino XTC Pill 220mg Dutch Imported NDD'
homeofdrugs,0.034465,Drugs,Stimulants,Cocaine,'3,5 gr uncut Cocaine flakes'
theshop,0.000208,Other products,Digital items,Ebooks,'♕ MOBILE SUCCESS || EARN $30+ DAILY ♕'
RROR
sons-of-anarchi,0.00129,,Other products,Cannabis growing,'5 seeds(rosenthal x LA x rosenthal) FEMINIZEED 100% free shiping'
bmg1,0.012684,,Drugs,Cannabis,'BMG's 10 SEEDS TAHOE OG X ALIEN ROCK CANDY'
wendy,0.001046,Other products,Digital items,Erotica,'VIVTHOMAS - [PORN LIFETIME ACCOUNT]'
cbdqueenuk,0.0,Drugs,Cannabis,Weed,'224g OG Kush greenhouse grown'
pokedexta,0.116175,Drugs,Empathogens,MDMA,'500 XTC Yellow Pikachu 210mg '
dreamdoc,0.118111,Other products,Services,Money,'Super Best Quality counterfeit Notes 200x$20= $4000 Promotion!!'
simon-labond,4.396055,Drugs,Stimulants,Cocaine,'1 Kilogram Fishscale Peruvian Cocaine Full Brick SUPER Sale Price'
chemical_usa,0.838391,Drugs,Opiates,Fentanyl,'Custom jarez'
white-house,0.004776,Drugs,Stimulants,Crack,'0,5 gr. uncut Raw Crack Cocaine Freebase Peruvian'
theshop,0.000208,,Other products,Digital items,'♕ Make $100 per Day Using Instagram ♕'
pol1,0.124418,Drugs,Stimulants,Amphetamine,'4-MPD 4-MEAP ★ shipping from EU★ 500 grams'
idealpills,0.092899,Drugs,Pharmacy,Benzos,'950x Xanax 1 MG Pills (Loose)'
redface33,0.22497,Other products,Self-defence,Explosives,'One Glock 17'
rxhind,0.081414,,Drugs,Pharmacy,'Tramadol 50mg x 1000 pills - Offer 20% extra'
dreamdoc,0.068414,Other products,Services,Money,'Super Best Quality counterfeit Notes 40x$50= $2000 Promotion!!'
deepstatus,0.007724,Drugs,Stimulants,Cocaine,'1g  Colombian Cocaine 90% ♛ Premium Quality'
mushroomgirl,0.007523,Drugs,Psychedelics,Mushrooms,'New Seller Special!! 1/2 Ounce (15 Grams) Shrooms $65'
sspaceagent,0.000181,,Other products,Digital items,'UFC Premium ACC (Lifetime Warranty)'
fakeid,0.107179,Drugs,Empathogens,MDMA,'Dutch passport'
dreamdoc,0.130374,Other products,Services,Money,'Super Best Quality counterfeit Notes 100x$50= $5000 Promotion!!'
eztkapdel,0.005129,Drugs,Pharmacy,Benzos,'Unopened box ox Xanax 0.5 mg 100piece 50mg total'
