vendor,price,cat1,cat2,cat3,title
11yliopistonapteekki11,0.002825,Drugs,Empathogens,Ecstasy,"1 kpl Keltainen UPS 200 mg 17 € / kpl"
11yliopistonapteekki11,0.002825,Drugs,Empathogens,Ecstasy,"1 kpl Punainen Rolls Royce 200mg 17 € / kpl"
11yliopistonapteekki11,0.002953,Drugs,Stimulants,Amphetamine,"1g Puhdasta Puolalaista Amfetamiinia 18€/g *64%*"
11yliopistonapteekki11,0.004494,Drugs,Stimulants,4-MePPP,"0.5 Mefedroni(MCAT) "
11yliopistonapteekki11,0.00642,Drugs,Empathogens,Ecstasy,"3 kpl Keltainen UPS 200 mg 15 € / kpl"
11yliopistonapteekki11,0.00642,Drugs,Empathogens,Ecstasy,"3 kpl Punainen Rolls Royce 200mg 15 € / kpl"
11yliopistonapteekki11,0.00642,Drugs,Stimulants,4-MePPP,"1 Mefedroni(MCAT) "
11yliopistonapteekki11,0.006997,Drugs,Stimulants,Amphetamine,"3.5g Puhdasta Puolalaista Amfetamiinia 16.5€/g *64%*"
11yliopistonapteekki11,0.007832,Drugs,Empathogens,MDMA,"1g Puhdasta MDMA-kristallia 56€/g"
11yliopistonapteekki11,0.008667,Drugs,Empathogens,Ecstasy,"5 kpl Keltainen UPS 200 mg 12.5 € / kpl"
11yliopistonapteekki11,0.008667,Drugs,Empathogens,Ecstasy,"5 kpl Punainen Rolls Royce 200mg 12.5 € / kpl"
11yliopistonapteekki11,0.010272,Drugs,Stimulants,Amphetamine,"5g Puhdasta Puolalaista Amfetamiinia 15€/g *64%*"
11yliopistonapteekki11,0.017975,Drugs,Empathogens,MDMA,"3.5g Puhdasta MDMA-kristallia 45€/g"
11yliopistonapteekki11,0.026321,Drugs,Empathogens,MDMA,"5g Puhdasta MDMA-kristallia 40€/g"
358918498374,0.029788,Drugs,Cannabis,Hash,"erere"
420highstreet,0.016234,Drugs,Cannabis,Weed,"1oz -- SOUR DIESEL, KNOCKOUT, LEMON OG--  FREE SHIPPING!!"
420highstreet,0.019377,Drugs,Cannabis,Weed,"1oz GREENHOUSE -- PINEAPPLE EXPRESS, GREEN CRACK, CANDYLAND,"
420highstreet,0.051322,Drugs,Cannabis,Weed,"QP (4oz) -- SOUR DIESEL, KNOCKOUT, LEMON OG--  FREE SHIPPING!!"
420highstreet,0.059177,Drugs,Cannabis,Weed,"QP GREENHOUSE (4oz) -- PINEAPPLE EXPRESS, GREEN CRACK, CANDYLAND,"
